"RunOrder" "StandardOrder" "Temperature" "Material" "Repeat" "Response"
36 12 "15" "1" "1" NA
24 24 "70" "1" "1" NA
36 36 "125" "1" "1" NA
12 12 "15" "2" "1" NA
12 24 "70" "2" "1" NA
36 36 "125" "2" "1" NA
12 12 "15" "3" "1" NA
12 24 "70" "3" "1" NA
36 36 "125" "3" "1" NA
12 12 "15" "1" "2" NA
24 24 "70" "1" "2" NA
24 36 "125" "1" "2" NA
24 12 "15" "2" "2" NA
36 24 "70" "2" "2" NA
24 36 "125" "2" "2" NA
24 12 "15" "3" "2" NA
36 24 "70" "3" "2" NA
12 36 "125" "3" "2" NA
24 12 "15" "1" "3" NA
36 24 "70" "1" "3" NA
12 36 "125" "1" "3" NA
24 12 "15" "2" "3" NA
36 24 "70" "2" "3" NA
24 36 "125" "2" "3" NA
24 12 "15" "3" "3" NA
36 24 "70" "3" "3" NA
12 36 "125" "3" "3" NA
24 12 "15" "1" "4" NA
12 24 "70" "1" "4" NA
12 36 "125" "1" "4" NA
36 12 "15" "2" "4" NA
36 24 "70" "2" "4" NA
24 36 "125" "2" "4" NA
12 12 "15" "3" "4" NA
12 24 "70" "3" "4" NA
36 36 "125" "3" "4" NA
