"RunOrder" "StandardOrder" "Temperature" "Material" "Repeat" "Response"
34 1 "15" "1" "1" 	130
25 2 "70" "1" "1" 	34
16 3 "125" "1" "1" 	20
7 4 "15" "2" "1" 	150
8 5 "70" "2" "1" 	136
1 6 "125" "2" "1" 	25
26 7 "15" "3" "1" 	138
36 8 "70" "3" "1" 	174
6 9 "125" "3" "1" 	96
13 10 "15" "1" "2" 	155
3 11 "70" "1" "2" 	40
31 12 "125" "1" "2" 70
27 13 "15" "2" "2" 	188
29 14 "70" "2" "2" 	122
12 15 "125" "2" "2" 70
14 16 "15" "3" "2" 	110
30 17 "70" "3" "2" 	120
24 18 "125" "3" "2" 104
5 19 "15" "1" "3" 	74
21 20 "70" "1" "3" 	80
10 21 "125" "1" "3" 82
35 22 "15" "2" "3" 	159
19 23 "70" "2" "3" 	106
28 24 "125" "2" "3" 58
18 25 "15" "3" "3" 	168
20 26 "70" "3" "3" 	150
33 27 "125" "3" "3" 82
11 28 "15" "1" "4" 	180
23 29 "70" "1" "4" 	75
17 30 "125" "1" "4" 58
15 31 "15" "2" "4" 	126
32 32 "70" "2" "4" 	115
4 33 "125" "2" "4" 	45
22 34 "15" "3" "4" 	160
2 35 "70" "3" "4" 	139
9 36 "125" "3" "4" 	60
