id r l dr dl V
 1 0.5 0.5 0.03 0.15     0.57
 2 0.5 5.5 0.03 0.15     5.00
 3 1.5 0.5 0.03 0.15     4.81
 4 1.5 5.5 0.03 0.15     41.89
 5 0.5 0.5 0.03 -0.15    0.31
 6 0.5 5.5 0.03 -0.15    4.76
 7 1.5 0.5 0.03 -0.15    2.59
 8 1.5 5.5 0.03 -0.15    39.53
 9 0.5 0.5 -0.03 0.15    0.45
10 0.5 5.5 -0.03 0.15    3.91
11 1.5 0.5 -0.03 0.15    4.39
12 1.5 5.5 -0.03 0.15    38.46
13 0.5 0.5 -0.03 -0.15   0.244
14 0.5 5.5 -0.03 -0.15   3.69
15 1.5 0.5 -0.03 -0.15   2.40
16 1.5 5.5 -0.03 -0.15   36.13
